name,latitude,longitude,font size,font file,point size
St. Johns,45.61629491792573,-122.75272656387183,10,fonts/helvetica.ttf,2
Hayden Island,45.61094989082174,-122.67710345649205,10,fonts/helvetica.ttf,2
Linnton,45.59777544742506,-122.78170720193108,10,fonts/helvetica.ttf,2
Forest Park/Linnton,45.58025679123053,-122.78119425816331,10,fonts/helvetica.ttf,2
Kenton,45.59450950731551,-122.69764152787265,10,fonts/helvetica.ttf,2
Forest Park,45.55799909447851,-122.77012863922214,10,fonts/helvetica.ttf,2
Bridgeton,45.603083383100575,-122.66912544194655,10,fonts/helvetica.ttf,2
East Columbia,45.59372799080633,-122.6621107026483,10,fonts/helvetica.ttf,2
Mc Unclaimed #2,45.601560925351905,-122.65327988335116,10,fonts/helvetica.ttf,2
Cathedral Park,45.587362607722675,-122.75730245239961,10,fonts/helvetica.ttf,2
Sunderland,45.583168532230395,-122.63693685966585,10,fonts/helvetica.ttf,2
Portsmouth,45.58723344294556,-122.71840052314862,10,fonts/helvetica.ttf,2
Mc Unclaimed #1,45.58486790701938,-122.67114992314153,10,fonts/helvetica.ttf,2
University Park,45.576348098201144,-122.73006495922989,10,fonts/helvetica.ttf,2
Northwest Industrial,45.557683275254135,-122.72745974876968,10,fonts/helvetica.ttf,2
Piedmont,45.57480043149666,-122.67025941328043,10,fonts/helvetica.ttf,2
Woodlawn,45.572559833156895,-122.6530224979881,10,fonts/helvetica.ttf,2
Cully,45.563747224440526,-122.60149439511792,10,fonts/helvetica.ttf,2
Arbor Lodge,45.572146175768424,-122.6908275981714,10,fonts/helvetica.ttf,2
Overlook,45.559444931510946,-122.69943838667713,10,fonts/helvetica.ttf,2
Concordia,45.56543289451927,-122.63286628533488,10,fonts/helvetica.ttf,2
Parkrose,45.56017213796411,-122.54740701506593,10,fonts/helvetica.ttf,2
Sumner,45.56209580784334,-122.5702796293558,10,fonts/helvetica.ttf,2
Argay,45.55593802648669,-122.52335608497854,10,fonts/helvetica.ttf,2
Humboldt,45.560500416182336,-122.67164405629272,10,fonts/helvetica.ttf,2
King,45.55781097716531,-122.65907923537881,10,fonts/helvetica.ttf,2
Vernon,45.56237258040879,-122.64844379396263,10,fonts/helvetica.ttf,2
Wilkes,45.54879784146131,-122.49761601388239,10,fonts/helvetica.ttf,2
Beaumont-Wilshire,45.550476534886,-122.62262799349332,10,fonts/helvetica.ttf,2
Sabin,45.55278564111168,-122.6488700588619,10,fonts/helvetica.ttf,2
Alameda,45.54905678626949,-122.63584810389759,10,fonts/helvetica.ttf,2
Boise,45.55033960723468,-122.67200604455668,10,fonts/helvetica.ttf,2
Northwest Heights,45.54030621984628,-122.77190064181192,10,fonts/helvetica.ttf,2
Roseway,45.54911820637185,-122.58878171595556,10,fonts/helvetica.ttf,2
Maywood Park,45.549954364307624,-122.55993080041357,10,fonts/helvetica.ttf,2
Madison South,45.5415368931557,-122.57419511752188,10,fonts/helvetica.ttf,2
Argay/Wilkes,45.55054629023269,-122.51062213770649,10,fonts/helvetica.ttf,2
